               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022932,             0.01237,            0.011372,             0.85422,             0.88562,             0.91696,             0.71944,            0.014406,            0.004114,           0.0067873,            0.070171,           0.0033143,           0.0033143
                   1,            0.025146,            0.012472,            0.011644,             0.77271,              0.8886,             0.90332,             0.66719,            0.015123,           0.0045436,           0.0093018,            0.039513,           0.0059895,           0.0059895
                   2,            0.028221,            0.012354,            0.012278,             0.79802,             0.86564,             0.89183,             0.63166,            0.017392,           0.0045603,           0.0081628,           0.0081952,           0.0080047,           0.0080047
                   3,            0.028517,            0.013311,            0.013452,             0.77058,             0.88165,             0.88359,             0.62403,            0.019394,           0.0049809,           0.0077735,             0.00703,             0.00703,             0.00703
                   4,            0.028769,            0.013666,            0.014985,             0.80847,             0.85632,             0.89893,             0.65464,            0.017136,           0.0050501,            0.010049,             0.00703,             0.00703,             0.00703
                   5,            0.027668,            0.013277,            0.013194,             0.83199,             0.84913,             0.89895,             0.66917,            0.016313,           0.0049397,           0.0081458,             0.00604,             0.00604,             0.00604
                   6,            0.026457,            0.013035,             0.01278,             0.78703,             0.84843,             0.88414,             0.66371,            0.017318,           0.0047979,            0.008273,             0.00505,             0.00505,             0.00505
                   7,            0.024689,            0.012706,            0.011854,             0.82756,             0.91963,             0.91058,             0.72904,            0.014396,           0.0042609,           0.0071392,             0.00406,             0.00406,             0.00406
                   8,            0.023332,            0.012357,            0.011048,             0.86764,             0.86698,             0.91028,               0.731,            0.013854,           0.0041278,           0.0065513,             0.00307,             0.00307,             0.00307
                   9,            0.022097,            0.011416,           0.0099874,             0.86277,              0.9036,             0.93208,             0.75978,             0.01292,           0.0039069,           0.0055163,             0.00208,             0.00208,             0.00208
