               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.019108,            0.010808,           0.0068654,             0.86521,             0.93661,              0.9431,               0.786,            0.011794,           0.0036554,           0.0052507,            0.070171,           0.0033143,           0.0033143
                   1,            0.020458,            0.010818,           0.0067732,             0.90372,             0.91577,             0.94443,             0.75991,            0.013247,             0.00387,           0.0058734,            0.039952,           0.0064282,           0.0064282
                   2,            0.023322,             0.01073,            0.006196,             0.84346,             0.83068,             0.88483,             0.67451,            0.015977,           0.0047895,           0.0061877,           0.0095127,           0.0093222,           0.0093222
                   3,            0.024585,            0.011795,           0.0076108,             0.85391,             0.88861,             0.90989,             0.69771,            0.015449,           0.0046271,           0.0062984,             0.00901,             0.00901,             0.00901
                   4,            0.024899,            0.012429,            0.010374,             0.83312,              0.9046,               0.915,             0.69912,            0.015284,           0.0045326,           0.0077882,             0.00901,             0.00901,             0.00901
                   5,            0.024825,            0.012231,           0.0097811,             0.83887,             0.87105,             0.90415,              0.6943,             0.01623,           0.0046205,           0.0070348,             0.00868,             0.00868,             0.00868
                   6,            0.024891,             0.01246,           0.0094121,             0.76609,             0.87424,              0.8648,             0.65344,            0.016135,           0.0046483,           0.0097284,             0.00835,             0.00835,             0.00835
                   7,            0.024755,            0.012432,           0.0087631,             0.85537,             0.91439,             0.92071,             0.72275,            0.015331,           0.0043153,           0.0058406,             0.00802,             0.00802,             0.00802
                   8,            0.024066,            0.012335,           0.0099687,             0.84307,             0.89198,             0.90754,             0.69522,            0.014485,           0.0048009,           0.0086552,             0.00769,             0.00769,             0.00769
                   9,            0.023633,            0.011683,           0.0095385,              0.7833,             0.85568,             0.89194,             0.69373,            0.014995,           0.0044939,            0.009924,             0.00736,             0.00736,             0.00736
                  10,             0.02298,             0.01212,           0.0094045,             0.90392,             0.87302,              0.9328,             0.74151,             0.01448,           0.0044254,           0.0055894,             0.00703,             0.00703,             0.00703
                  11,            0.022583,            0.011755,           0.0082327,              0.8866,             0.89864,             0.93251,             0.74127,            0.014637,           0.0042247,           0.0050848,              0.0067,              0.0067,              0.0067
                  12,            0.022699,            0.011613,           0.0082705,             0.85373,             0.91162,             0.91461,             0.72427,            0.013845,           0.0041952,            0.007927,             0.00637,             0.00637,             0.00637
                  13,            0.022159,            0.011918,           0.0079757,              0.8668,             0.90766,             0.91978,             0.73703,             0.01389,           0.0040603,            0.006105,             0.00604,             0.00604,             0.00604
                  14,            0.022414,            0.011363,           0.0083209,             0.86848,             0.90127,             0.92323,             0.75392,            0.012848,           0.0040444,           0.0063961,             0.00571,             0.00571,             0.00571
                  15,            0.021952,            0.011527,           0.0075357,             0.87377,             0.92893,              0.9417,             0.77171,             0.01305,           0.0039566,           0.0052074,             0.00538,             0.00538,             0.00538
                  16,            0.020808,            0.011243,            0.008098,             0.89744,             0.89559,             0.93291,             0.76404,            0.012804,            0.003936,           0.0060895,             0.00505,             0.00505,             0.00505
                  17,            0.020838,            0.011305,           0.0077789,             0.89563,             0.91043,             0.93856,             0.77683,            0.012778,           0.0039003,           0.0047621,             0.00472,             0.00472,             0.00472
                  18,            0.021123,            0.011115,           0.0077115,             0.88193,             0.93924,              0.9528,             0.79411,            0.012179,            0.003789,           0.0046119,             0.00439,             0.00439,             0.00439
                  19,            0.020966,            0.011018,           0.0078252,             0.88194,             0.91486,             0.94086,             0.77427,            0.012583,            0.003966,           0.0050822,             0.00406,             0.00406,             0.00406
                  20,            0.020813,            0.011094,           0.0085274,             0.88831,             0.91655,             0.93521,             0.77982,            0.012468,           0.0037914,           0.0057876,             0.00373,             0.00373,             0.00373
                  21,             0.01985,            0.010891,           0.0075556,             0.92322,             0.92704,             0.94895,             0.79493,            0.011888,           0.0037712,           0.0048557,              0.0034,              0.0034,              0.0034
                  22,            0.019544,            0.010635,           0.0072195,             0.90308,             0.92458,              0.9381,             0.78437,            0.011822,           0.0037493,           0.0060256,             0.00307,             0.00307,             0.00307
                  23,            0.019022,            0.010479,           0.0073627,             0.91466,             0.93794,             0.95104,             0.80532,            0.011537,           0.0036502,           0.0041803,             0.00274,             0.00274,             0.00274
                  24,            0.019177,            0.010535,           0.0063963,             0.88444,             0.95644,             0.94644,             0.80514,            0.011244,            0.003598,            0.005001,             0.00241,             0.00241,             0.00241
                  25,            0.019169,            0.010459,           0.0069508,              0.9189,             0.93344,             0.94578,             0.80429,            0.011227,           0.0036128,           0.0049589,             0.00208,             0.00208,             0.00208
                  26,             0.01795,            0.010239,           0.0057196,             0.90127,             0.94769,             0.94222,             0.80228,            0.011244,           0.0036033,           0.0051421,             0.00175,             0.00175,             0.00175
                  27,            0.018053,            0.010232,           0.0058754,             0.90952,             0.93577,             0.94647,             0.80751,            0.011309,           0.0035828,           0.0051179,             0.00142,             0.00142,             0.00142
                  28,            0.017764,            0.010025,           0.0055117,             0.91093,             0.94438,             0.94864,             0.81427,            0.010909,           0.0035015,           0.0049611,             0.00109,             0.00109,             0.00109
                  29,            0.017259,            0.010029,           0.0058329,             0.91973,             0.94723,             0.95204,             0.81863,            0.010814,           0.0035018,           0.0044783,             0.00076,             0.00076,             0.00076
